1286k  223.10.115.195:8083
1239k  223.10.39.207:8083
1041k  223.10.39.207:8082
1030k  223.10.115.195:8082
955k  110.178.52.91:8085
884k  1.70.34.145:8083
817k  110.178.52.91:8082
796k  1.70.34.145:8085
769k  1.70.34.145:8082
623k  110.178.52.91:8083
596k  1.70.32.208:8084
584k  1.70.32.208:8083
579k  1.70.32.208:8085
487k  1.70.32.208:8082
414k  1.70.34.145:8084
377k  110.178.52.75:8085
252k  110.178.52.75:8082
234k  110.178.52.75:8083
198k  223.10.9.208:8084
197k  223.10.9.208:8085
195k  223.10.9.208:8082
194k  223.10.9.208:8083
137k  110.178.52.208:8085
120k  110.178.52.208:8082
